code,name,county,city,full_address,long,lat,district,name_y,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
10346,B Everett Jordan Elem,Alamance,Graham,"5827 Church Road, Graham, NC 27253",-79.3267517,35.9397887,Alamance-Burlington Schools,B. Everett Jordan Elementary,59.6,D,41.6,3
310304,B F Grady Elementary,Duplin,Albertson,"2627 N NC 11 & 903, Albertson, NC 28508",-77.8266212,35.0568712,Duplin County Schools,B F Grady Elementary,69.5,D,43.2,3
980308,B O Barnes Elementary,Wilson,Wilson,"1913 Martin L King Parkway, Wilson, NC 27893",-77.8865965,35.712878,Wilson County Schools,B O Barnes Elementary,78.8,F,22,4
90304,B T Washington Primary,Bladen,Clarkton,"66 Booker T Washington Road, Clarkton, NC 28433",-78.666651,34.500835,aanomatch,aanomatch,,,,
840308,Badin Elementary,Stanly,Badin,"47 Henderson St, Badin, NC 28009",-80.1147462,35.4019947,Stanly County Schools,Badin Elementary,56.1,B,69.2,2
640304,Bailey Elementary,Nash,Bailey,"6288 Pine Street, Bailey, NC 27807",-78.1155507,35.7820448,Nash-Rocky Mount Schools,Bailey Elementary,40.5,C,51.6,3
600313,Bailey Middle,Mecklenburg,Cornelius,"11900 Bailey Rd, Cornelius, NC 28031",-80.8375194,35.4675588,Charlotte-Mecklenburg Schools,Bailey Middle,17.8,A,86,1
920326,Baileywick Road Elementary,Wake,Raleigh,"9425 Baileywick Road, Raleigh, NC 27615",-78.664731,35.909168,Wake County Schools,Baileywick Road Elementary,55.7,D,50.8,3
600314,Bain Elementary,Mecklenburg,Charlotte,"11540 Bain School Rd, Charlotte, NC 28227",-80.6496049,35.173267,Charlotte-Mecklenburg Schools,Bain Elementary,18,A,84.2,1
995304,Bald Creek Elementary,Yancey,Burnsville,"100 Bald Creek School Road, Burnsville, NC 28714",-82.423218,35.91298,Yancey County Schools,Bald Creek Elementary,58.6,A,85.3,1
761312,Balfour Elementary,Randolph,Asheboro,"2097 N Asheboro School Rd, Asheboro, NC 27203",-79.8216787,35.7457357,Asheboro City Schools,Balfour Elementary,86.2,C,60.2,2
600437,Ballantyne Elementary,Mecklenburg,Charlotte,"15425 Scholastic Dr, Charlotte, NC 28277",-80.856065,35.037307,Charlotte-Mecklenburg Schools,Ballantyne Elementary,12.7,B,78.4,2
920327,Ballentine Elementary,Wake,Fuquay Varina,"1651 North McLaurin Lane, Fuquay Varina, NC 27526",-78.7716863,35.6133767,Wake County Schools,Ballentine Elementary,27,C,65.8,2
180304,Balls Creek Elementary,Catawba,Newton,"2620 Balls Creek Road, Newton, NC 28658",-81.127421,35.630981,Catawba County Schools,Balls Creek Elementary,49.7,B,68.3,2
180308,Bandys High,Catawba,Catawba,"5040 E Bandys Road, Catawba, NC 28609",-81.0856675,35.6446944,Catawba County Schools,Bandys High,30.4,B,69.6,2
540304,Banks Elementary,Lenoir,Kinston,"2148 Falling Creek Rd, Kinston, NC 28504",-77.6799582,35.2807256,Lenoir County Public Schools,Banks Elementary,55.3,C,59.6,3
920325,Banks Road Elementary,Wake,Raleigh,"10225 Chambers Rd, Raleigh, NC 27603",-78.7101307,35.6313522,Wake County Schools,Banks Road Elementary,32.1,C,61.6,2
60304,Banner Elk Elementary,Avery,Banner Elk,"155 Orchard Lane, Banner Elk, NC 28604",-81.8572987,36.1488516,Avery County Schools,Banner Elk Elementary,52.5,B,68.4,2
180312,Banoak Elementary,Catawba,Vale,"7651 W NC 10 Hwy, Vale, NC 28168",-81.4165581,35.5822564,Catawba County Schools,Banoak Elementary,59.7,C,57.9,3
110308,Barnardsville Elementary,Buncombe,Barnardsville,"20 Hillcrest Drive, Barnardsville, NC 28709",-82.459703,35.775168,Buncombe County Schools,Barnardsville Elementary,61.8,C,56.2,3
600328,Barnette Elementary,Mecklenburg,Huntersville,"13659 Beatties Ford Rd, Huntersville, NC 28078",-80.925014,35.399592,Charlotte-Mecklenburg Schools,Barnette Elementary,21.8,B,70.4,2
600316,Barringer Academic Center,Mecklenburg,Charlotte,"1546 Walton Rd, Charlotte, NC 28208",-80.88967,35.211871,Charlotte-Mecklenburg Schools,Barringer Academic Center,44.9,C,62.9,2
170316,Bartlett Yancey High,Caswell,Yanceyville,"466 Main Street E, Yanceyville, NC 27379",-79.3270991,36.4037802,Caswell County Schools,Bartlett Yancey High,55.1,C,33.3,4
920329,Barwell Road Elementary,Wake,Raleigh,"3925 Barwell Road, Raleigh, NC 27610",-78.5514452,35.731847,Wake County Schools,Barwell Road Elementary,76.3,F,33.1,4
640306,Baskerville Elementary,Nash,Rocky Mount,"1100 Stokes Avenue, Rocky Mount, NC 27801",-77.7713841,35.9505403,Nash-Rocky Mount Schools,Baskerville Elementary,85.9,F,19,5
70308,Bath Elementary,Beaufort,Bath,"110 S King Street, Bath, NC 27808",-76.8111894,35.4751685,Beaufort County Schools,Bath Elementary,27.7,C,68.3,2
140304,Baton Elementary,Caldwell,Granite Falls,"1400 Baton School Road, Granite Falls, NC 28630",-81.536672,35.809198,Caldwell County Schools,Baton Elementary,60.2,C,65,2
550312,Battleground Elementary,Lincoln,Lincolnton,"201 Jeb Seagle Dr, Lincolnton, NC 28092",-81.2624659,35.4801701,Lincoln County Schools,Battleground Elementary,65.6,D,44.3,3
920328,Baucom Elementary,Wake,Apex,"400 Hunter St, Apex, NC 27502",-78.8541275,35.7369998,Wake County Schools,Baucom Elementary,20.6,B,79.7,2
58B000,Bear Grass Charter School,Martin,Williamston,"6344 E Bear Grass Rd, Williamston, NC 27982",-77.1265283,35.7688102,Charter Schools,Bear Grass Charter School,14.9,B,70.9,2
460312,Bearfield Primary,Hertford,Ahoskie,"145 Hertford Co High School Rd, Ahoskie, NC 27910",-76.993872,36.295519,Hertford County Schools,Bearfield Primary,64.6,C,65.5,2
70311,Beaufort Co Early College High,Beaufort,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105,Beaufort County Schools,Beaufort Co Early College High,53.1,A,>95,1
070LEA,Beaufort County Schools,Beaufort,Washington,"321 Smaw Road, Washington, NC 27889",-77.0184721,35.5427542,aanomatch,aanomatch,,,,
160308,Beaufort Elementary,Carteret,Beaufort,"110 Carraway Drive, Beaufort, NC 28516",-76.6469568,34.7296582,Carteret County Public Schools,Beaufort Elementary,71.3,B,67.5,2
160310,Beaufort Middle,Carteret,Beaufort,"100 Carraway Drive, Beaufort, NC 28516",-76.6446104,34.7300759,Carteret County Public Schools,Beaufort Middle,67,B,66,2
260312,Beaver Dam Elementary,Cumberland,Roseboro,"12059 Hwy 210 S, Roseboro, NC 28382",-78.5807717,34.8944101,Cumberland County Schools,Beaver Dam Elementary,56,A,86.9,1
920332,Beaverdam Elementary,Wake,Raleigh,"3591 Tarheel Club Rd, Raleigh, NC 27604",-78.5281927,35.821173,Wake County Schools,Beaverdam Elementary,64.1,D,43.8,3
980318,Beddingfield High,Wilson,Wilson,"4510 Old Stantonsburg Rd, Wilson, NC 27893",-77.8758512,35.6600796,Wilson County Schools,Beddingfield High,24.1,C,53.8,3
995308,Bee Log Elementary,Yancey,Burnsville,"55 Bee Log Road, Burnsville, NC 28714",-82.408924,35.983203,aanomatch,aanomatch,,,,
110332,Bell Elementary,Buncombe,Asheville,"90 Maple Springs Road, Asheville, NC 28805",-82.492847,35.589248,Buncombe County Schools,Bell Elementary,53,C,59,3
670304,Bell Fork Elementary,Onslow,Jacksonville,"500 Bell Fork Rd, Jacksonville, NC 28540",-77.3923466,34.7528958,Onslow County Schools,Bell Fork Elementary,69.8,C,57.3,3
360320,Belmont Central Elementary,Gaston,Belmont,"310 Eagle Road, Belmont, NC 28012",-81.0505928,35.2408792,Gaston County Schools,Belmont Central Elementary,27.6,B,75.6,2
421304,Belmont Elementary School,Halifax,Roanoke Rapids,"1517 Bolling Road, Roanoke Rapids, NC 27870",-77.674563,36.464829,Roanoke Rapids City Schools,Belmont Elementary School,80.4,C,42.8,3
360324,Belmont Middle,Gaston,Belmont,"110 N Central Avenue, Belmont, NC 28012",-81.0416096,35.2417884,Gaston County Schools,Belmont Middle,31.1,B,72.3,2
100302,Belville Elementary,Brunswick,Leland,"575 River Road, Leland, NC 28451",-77.9841636,34.2209184,Brunswick County Schools,Belville Elementary,55.6,B,62.9,2
740310,Belvoir Elementary,Pitt,Greenville,"2568 NC 33 West, Greenville, NC 27834",-77.41742,35.668157,Pitt County Schools,Belvoir Elementary,75.2,D,42.2,3
