code,name,county,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
410487,Northeast Guilford Middle,Guilford,McLeansville,"6720 McLeansville Road, McLeansville, NC 27301",-79.6751128,36.1613338,Guilford County Schools,55,D,41.1,3
790366,Reidsville High,Rockingham,Reidsville,"1901 S Park Dr, Reidsville, NC 27320",-79.675195,36.329975,Rockingham County Schools,58.7,C,42.4,3
790358,Moss Street Partnership School,Rockingham,Reidsville,"419 Moss St, Reidsville, NC 27320",-79.6794154,36.3655388,Lab Schools,63.4,F,14.6,5
790374,Reidsville Middle,Rockingham,Reidsville,"1903 S Park Dr, Reidsville, NC 27320",-79.6804677,36.3284462,Rockingham County Schools,54.6,D,44.5,3
630376,Westmoore Elementary,Moore,Seagrove,"2159 NC Hwy 705, Seagrove, NC 27341",-79.686203,35.485844,Moore County Schools,55.7,C,53,3
760324,Franklinville Elementary,Randolph,Franklinville,"162 Pine St, Franklinville, NC 27248",-79.693213,35.747311,Randolph County Schools,62.9,D,50,3
410550,Southeast Guilford Middle,Guilford,Greensboro,"4825 Woody Mill Road, Greensboro, NC 27406",-79.6942335,35.9718746,Guilford County Schools,46.7,C,58.8,3
770351,Richmond 9th Grade Academy,Richmond,Hamlet,"804 County Home Rd, Hamlet, NC 28345",-79.6942892,34.918789,Richmond County Schools,72.5,C,47.4,3
410454,Madison Elementary,Guilford,McLeansville,"3600 Hines Chapel Road, McLeansville, NC 27301",-79.695518,36.147457,Guilford County Schools,71.7,C,57.6,3
410547,Southeast Guilford High,Guilford,Greensboro,"4530 Southeast School Road, Greensboro, NC 27406",-79.6963339,35.97351,Guilford County Schools,37.6,B,55.3,3
410530,Reedy Fork Elementary,Guilford,Greensboro,"4571 Reedy Fork Parkway, Greensboro, NC 27405",-79.6963377,36.186193,Guilford County Schools,72.3,D,46.2,3
770346,Monroe Avenue Elementary,Richmond,Hamlet,"400 Monroe Ave, Hamlet, NC 28345",-79.6973927,34.8943163,Richmond County Schools,92.1,C,47.6,3
760328,Grays Chapel Elementary,Randolph,Franklinville,"5322 NC Hwy 22 N, Franklinville, NC 27248",-79.699221,35.820788,Randolph County Schools,52.5,C,66.3,2
410341,Brown Summit Middle,Guilford,Browns Summit,"4720 NC Highway 150 East, Browns Summit, NC 27214",-79.701931,36.210539,Guilford County Schools,16.9,A,>95,1
410304,Alamance Elementary,Guilford,Greensboro,"3600 Williams Dairy Road, Greensboro, NC 27406",-79.7078376,36.0172276,Guilford County Schools,37.7,B,73.2,2
41L000,Gate City Charter,Guilford,Greensboro,"123 Flemingfield Road, Greensboro, NC 27405",-79.710089,36.090168,Charter Schools,67.2,D,43.6,3
770349,Richmond Early College High,Richmond,Hamlet,"1042 W Hamlet Ave, Hamlet, NC 28345",-79.7101011,34.9032115,Richmond County Schools,66.2,A,>95,1
770318,Fairview Heights Elementary,Richmond,Hamlet,"104 Hamilton Ave, Hamlet, NC 28345",-79.7136073,34.8886731,Richmond County Schools,85,C,60.9,2
760339,Providence Grove High,Randolph,Climax,"5555 Mack Lineberry Rd, Climax, NC 27233",-79.7146969,35.8493379,Randolph County Schools,41.6,C,44.6,3
770348,Richmond Senior High,Richmond,Rockingham,"838 US 1 North, Rockingham, NC 28379",-79.715888,34.9496275,Richmond County Schools,68.7,C,47.8,3
770328,Hamlet Middle,Richmond,Hamlet,"1406 McDonald Ave, Hamlet, NC 28345",-79.7214083,34.8909574,Richmond County Schools,82.6,C,57,3
410542,George C Simkins Jr Elementary,Guilford,Greensboro,"3511 East Lee St, Greensboro, NC 27406",-79.725501,36.044825,Guilford County Schools,80.3,D,46.6,3
410399,Middle College at GTCC-Greensboro,Guilford,Greensboro,"3505 East Wendover Avenue, Greensboro, NC 27405",-79.7273151,36.0888097,Guilford County Schools,48.9,A,84.7,1
790310,Central Elementary,Rockingham,Eden,"435 E Stadium Dr, Eden, NC 27288",-79.730385,36.504803,Rockingham County Schools,53.8,C,60.9,2
790380,Rockingham County Middle,Rockingham,Reidsville,"182 High School Road, Reidsville, NC 27320",-79.735185,36.385928,Rockingham County Schools,43.2,C,66.2,2
790354,John M Morehead High,Rockingham,Eden,"134 N Pierce St, Eden, NC 27288",-79.735951,36.505088,Rockingham County Schools,52.1,C,29,4
410328,Bessemer Elementary,Guilford,Greensboro,"918 Huffine Mill Road, Greensboro, NC 27405",-79.736291,36.0895579,Guilford County Schools,81.3,D,34.2,4
410366,Waldo C Falkener Sr Elementary,Guilford,Greensboro,"3931 Naco Road, Greensboro, NC 27401",-79.7363892,36.0820795,Guilford County Schools,79,D,35.1,4
790330,J E Holmes Middle,Rockingham,Eden,"211 N Pierce St, Eden, NC 27288",-79.738162,36.505611,Rockingham County Schools,66.3,C,51,3
410402,Otis L Hairston Sr Middle,Guilford,Greensboro,"3911 Naco Rd, Greensboro, NC 27401",-79.7384171,36.0814709,Guilford County Schools,78.3,D,29.4,4
790378,Rockingham County High,Rockingham,Reidsville,"180 High School Rd, Reidsville, NC 27320",-79.7408638,36.386187,Rockingham County Schools,32.1,B,61.9,2
770370,Washington Street Elementary,Richmond,Rockingham,"566 E Washington St Ext, Rockingham, NC 28379",-79.741272,34.942604,Richmond County Schools,79.3,C,51,3
790398,Wentworth Elementary,Rockingham,Reidsville,"8806 NC Hwy 87, Reidsville, NC 27320",-79.744134,36.397277,Rockingham County Schools,47.5,B,69.3,2
