district,code,name,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Charter Schools,98B000,Wilson Preparatory Academy,7.9,C,65.2,2
Cabarrus County Schools,130330,R Brown McAllister Elementary,39.2,B,65.1,2
Camden County Schools,150312,Camden Middle,25.4,B,65.1,2
Chatham County Schools,190341,North Chatham Elementary,34.5,B,65.1,2
Cumberland County Schools,260318,Jack Britt High,35.9,B,65.1,2
Dare County Schools,280304,Cape Hatteras Secondary School,49.4,B,65.1,2
Johnston County Schools,510327,Cleveland High,24.6,B,65.1,2
Johnston County Schools,510329,Cleveland Middle,21.8,B,65.1,2
Onslow County Schools,670310,Carolina Forest Elementary,39.7,C,65.1,2
Caldwell County Schools,140304,Baton Elementary,60.2,C,65,2
Mitchell County Schools,610310,Deyton Elementary,59.2,B,65,2
Buncombe County Schools,110368,Haw Creek Elementary,44.4,B,64.9,2
Davie County Schools,300310,Cornatzer Elementary,49.9,B,64.9,2
Moore County Schools,630328,Highfalls Elementary,38.2,C,64.9,2
Richmond County Schools,770344,Mineral Springs Elementary,76.1,B,64.9,2
Asheville City Schools,111312,Claxton Elementary,36.2,C,64.8,2
Cabarrus County Schools,130325,Charles E Boger Elementary,40.3,B,64.8,2
Iredell-Statesville Schools,490338,Lakeshore Middle,25,C,64.8,2
Northampton County Schools,660400,Northampton Early College,33.1,B,64.8,2
Person County Schools,730332,Helena Elementary,32.4,B,64.8,2
Transylvania County Schools,880330,Rosman Middle,62.2,B,64.8,2
Union County Public Schools,900307,Rocky River Elementary,63.4,B,64.8,2
Currituck County Schools,270309,Jarvisburg Elementary,49.1,C,64.7,2
Haywood County Schools,440349,Jonathan Valley Elementary,57.2,B,64.7,2
Charter Schools,90B000,Union Day School,<5,C,64.7,2
Charter Schools,93P000,Rolesville Charter Academy,22.5,C,64.7,2
Davidson County Schools,290332,Hasty Elementary,64.4,B,64.6,2
Davie County Schools,300326,Pinebrook Elementary,35.4,B,64.6,2
McDowell County Schools,590340,Old Fort Elementary School,68.5,B,64.6,2
Randolph County Schools,760364,Tabernacle Elementary,67.1,B,64.6,2
Union County Public Schools,900362,Sun Valley Middle,33,C,64.6,2
Wilson County Schools,980338,Forest Hills Middle,24.9,B,64.6,2
Yancey County Schools,995328,Micaville Elementary,55.4,C,64.6,2
Cumberland County Schools,260411,Reid Ross Classical High,63.5,B,64.5,2
Yancey County Schools,995324,East Yancey Middle,46.3,B,64.5,2
Charter Schools,11D000,The Franklin School of Innovation,13.4,C,64.5,2
Charter Schools,50A000,Summit Charter,8.1,C,64.5,2
Hickory City Schools,181332,Longview Elementary,54.6,B,64.4,2
Cherokee County Schools,200330,Murphy Middle,47.7,B,64.4,2
Cleveland County Schools,230304,Bethware Elementary,45.4,C,64.4,2
Davidson County Schools,290348,North Davidson High,25.2,B,64.4,2
Iredell-Statesville Schools,490348,Scotts Elementary,62.2,B,64.4,2
Cabarrus County Schools,130331,Pitts School Road Elementary,31.5,C,64.3,2
Caswell County Schools,170334,North Elementary,57.4,C,64.3,2
Guilford County Schools,410448,Lincoln Academy,56.8,C,64.3,2
Moore County Schools,630331,New Century Middle,32.6,C,64.3,2
Orange County Schools,680332,Orange High,30.5,B,64.3,2
Stokes County Schools,850358,West Stokes High,38,B,64.3,2
Buncombe County Schools,110379,North Buncombe Elementary,48.6,C,64.2,2
Burke County Schools,120350,Liberty Middle,48.9,B,64.2,2
Durham Public Schools,320370,Rogers-Herr Middle,46.2,B,64.2,2
Gaston County Schools,360378,Stuart W Cramer High,37.3,B,64.2,2
Guilford County Schools,410553,Southern Elementary,68.1,C,64.2,2
Charlotte-Mecklenburg Schools,600534,Smithfield Elementary,42.6,C,64.2,2
Pasquotank County Schools,700328,Weeksville Elementary,56.9,C,64.2,2
Watauga County Schools,950332,Valle Crucis Elementary,33.8,B,64.2,2
Wilkes County Schools,970389,West Wilkes Middle School,36.4,B,64.2,2
Charter Schools,39B000,Oxford Preparatory,9,C,64.2,2
Alamance-Burlington Schools,10320,E M Yoder Elementary,40.8,B,64.1,2
Alamance-Burlington Schools,10406,Woodlawn Middle,46.3,C,64.1,2
Cabarrus County Schools,130338,Weddington Hills Elementary,53.4,B,64.1,2
Catawba County Schools,180326,Charles H Tuttle Elementary,47.6,C,64.1,2
Wilson County Schools,980320,Frederick Douglass Elementary,41.9,C,64.1,2
Cabarrus County Schools,130322,Mount Pleasant Elementary,37.4,B,64,2
Caldwell County Schools,140384,Sawmills Elementary,58.2,C,64,2
Charlotte-Mecklenburg Schools,600527,Shamrock Gardens Elementary,42.1,C,64,2
Wake County Schools,920402,East Cary Middle,33.3,C,64,2
Wake County Schools,920554,Sanford Creek Elementary,31,C,64,2
Alexander County Schools,20320,Stony Point Elementary,60.3,C,63.9,2
Anson County Schools,40308,Ansonville Elementary,42.1,B,63.9,2
Cleveland County Schools,230350,Kings Mountain High,43.4,B,63.9,2
Cleveland County Schools,230351,Kings Mountain Intermediate,59.9,C,63.9,2
Granville County Schools,390362,Tar River Elementary,44.4,C,63.9,2
Macon County Schools,560330,Macon Middle School,58.3,B,63.9,2
Rowan-Salisbury Schools,800372,Mt Ulla Elementary,51.6,C,63.9,2
Sampson County Schools,820349,Lakewood High,61.9,B,63.9,2
Alleghany County Schools,30308,Glade Creek Elementary,66.5,B,63.8,2
Cherokee County Schools,200310,Andrews Middle,66.8,B,63.8,2
Iredell-Statesville Schools,490360,Shepherd Elementary,36.4,C,63.8,2
Macon County Schools,560320,Franklin High,47.3,B,63.8,2
Martin County Schools,580356,Rodgers Elementary,33.2,C,63.8,2
Orange County Schools,680316,Charles W Stanford Middle,30.7,C,63.8,2
Wake County Schools,920351,Buckhorn Creek Elementary,32.5,C,63.8,2
Charter Schools,65D000,Island Montessori Charter School,17.5,B,63.8,2
Columbus County Schools,240370,Old Dock Elementary,69.1,C,63.7,2
Wilson County Schools,980342,James Hunt High,17.6,B,63.7,2
Buncombe County Schools,110422,Estes Elementary,44.5,C,63.6,2
Cabarrus County Schools,130321,Carl A Furr Elementary,53.3,C,63.6,2
Gates County Schools,370316,Gatesville Elementary,61.3,B,63.6,2
Haywood County Schools,440396,Waynesville Middle,48.3,C,63.6,2
Wake County Schools,920442,Hilburn Drive Academy,28.3,C,63.6,2
Wake County Schools,920460,Kingswood Elementary,42,C,63.6,2
Wake County Schools,920543,Richland Creek Elementary,47.8,C,63.6,2
Charter Schools,32R000,Excelsior Classical Academy,7.5,C,63.6,2
Charlotte-Mecklenburg Schools,600424,Idlewild Elementary,48.6,C,63.5,2
Sampson County Schools,820347,Hobbton Middle,61.8,C,63.5,2
Wake County Schools,920495,Middle Creek High,22.9,B,63.5,2
Moore County Schools,630360,Union Pines High,31.6,B,63.4,2
Orange County Schools,680308,Cameron Park Elementary,40.3,B,63.4,2
Charter Schools,92R000,Casa Esperanza Montessori Charter School,7.4,C,63.4,2
Cleveland County Schools,230362,Shelby Middle,47.1,B,63.3,2
Johnston County Schools,510382,The Innovation Academy at South Campus,44.9,C,63.3,2
Stokes County Schools,850354,London Elementary,65.4,B,63.3,2
Wake County Schools,920424,Fuquay-Varina Middle,39.7,C,63.3,2
Wake County Schools,920550,Salem Elementary,28.1,C,63.3,2
Wake County Schools,920628,York Elementary,43.2,C,63.3,2
Wilkes County Schools,970322,East Wilkes Middle School,30,B,63.3,2
Jones County Schools,520336,Trenton Elementary,79.1,C,63.2,2
McDowell County Schools,590320,Marion Elementary School,74.5,B,63.2,2
Surry County Schools,860344,Rockford Elementary,72.2,C,63.2,2
Chatham County Schools,190328,Horton Middle,41.1,C,63.1,2
Chatham County Schools,190340,Moncure School,47.8,C,63.1,2
Cherokee County Schools,200324,Murphy Elementary,35.9,B,63.1,2
Columbus County Schools,240373,CCCA - Fair Bluff /Southeastern Campuses,65.2,B,63.1,2
Cumberland County Schools,260417,New Century International Middle,54.9,B,63.1,2
Moore County Schools,630336,Pinecrest High,30.4,B,63.1,2
Randolph County Schools,760380,Trinity High,43.2,B,63.1,2
Brunswick County Schools,100336,Southport Elementary,55.5,C,63,2
Catawba County Schools,180352,Mill Creek Middle,36.5,C,63,2
Iredell-Statesville Schools,490332,Harmony Elementary,59.2,B,63,2
Brunswick County Schools,100302,Belville Elementary,55.6,B,62.9,2
Henderson County Schools,450328,Flat Rock Middle,64.3,C,62.9,2
Charlotte-Mecklenburg Schools,600316,Barringer Academic Center,44.9,C,62.9,2
Charlotte-Mecklenburg Schools,600500,Pineville Elementary,58.6,C,62.9,2
Robeson County Schools,780328,Green Grove Elementary,84.5,C,62.9,2
Surry County Schools,860316,East Surry High,42.6,B,62.9,2
Wake County Schools,920400,Reedy Creek Middle,39.9,C,62.9,2
Buncombe County Schools,110320,Black Mountain Primary,49.9,C,62.8,2
Asheville City Schools,111302,Asheville High,25.2,B,62.8,2
Catawba County Schools,180316,Blackburn Elementary,50.4,C,62.8,2
Charlotte-Mecklenburg Schools,600361,Butler High,38.9,B,62.8,2
Union County Public Schools,900372,Waxhaw Elementary,41.7,C,62.8,2
Cleveland County Schools,230355,Marion Elementary,65.2,C,62.7,2
Johnston County Schools,510333,Corinth Holders High,23,B,62.7,2
Cumberland County Schools,260325,Cape Fear High,50.6,B,62.6,2
Cumberland County Schools,260416,J W Seabrook Elementary,68,C,62.6,2
Wake County Schools,920304,Adams Elementary,45.8,C,62.6,2
Wake County Schools,920564,Stough Elementary,30.5,C,62.6,2
Charter Schools,70A000,Northeast Academy of Aerospace & AdvTech,13.7,C,62.6,2
Avery County Schools,60302,Avery County High,46.9,B,62.5,2
Caldwell County Schools,140356,Hudson Middle,53.6,C,62.5,2
Johnston County Schools,510379,Riverwood Middle,27.2,B,62.5,2
Lincoln County Schools,550320,East Lincoln High,23.7,B,62.5,2
Charlotte-Mecklenburg Schools,600386,Hawthorne Academy of Health Sciences,31,B,62.5,2
Watauga County Schools,950320,Green Valley Elementary,56.5,B,62.5,2
Buncombe County Schools,110416,Roberson High,33.7,B,62.4,2
Burke County Schools,120314,East Burke High,45.9,B,62.4,2
Caldwell County Schools,140360,Kings Creek Elementary,64.7,C,62.4,2
Stokes County Schools,850342,Poplar Springs Elementary,51.1,B,62.4,2
Union County Public Schools,900346,Parkwood Middle,39.9,C,62.4,2
Wilkes County Schools,970392,Wilkesboro Elementary School,32.5,B,62.4,2
Burke County Schools,120315,East Burke Middle,58.1,B,62.3,2
Cabarrus County Schools,130311,Coltrane-Webb Elementary,47.1,C,62.3,2
Chatham County Schools,190350,Siler City Elementary,85.3,C,62.3,2
Moore County Schools,630364,Vass-Lakeview Elementary,47.8,C,62.3,2
Onslow County Schools,670320,Dixon High,36.7,B,62.3,2
Polk County Schools,750328,Sunny View Elementary School,46.9,C,62.3,2
Randolph County Schools,760340,Ramseur Elementary,55.9,C,62.3,2
Union County Public Schools,900341,Porter Ridge Elementary,45.6,C,62.3,2
Wake County Schools,920516,North Ridge Elementary,41.7,C,62.3,2
Wake County Schools,920620,Wiley Elementary,36,C,62.3,2
Buncombe County Schools,110380,North Buncombe High,37.9,B,62.2,2
Burke County Schools,120320,George Hildebrand Elementary,65.4,B,62.2,2
Cumberland County Schools,260398,E E Miller Elementary,54.7,B,62.2,2
Currituck County Schools,270318,Moyock Middle,26.5,B,62.2,2
Franklin County Schools,350304,Bunn Elementary,71,C,62.2,2
Gaston County Schools,360500,Stanley Middle,45.9,B,62.2,2
Charlotte-Mecklenburg Schools,600352,Crown Point Elementary,63.3,C,62.1,2
Wayne County Public Schools,960344,Meadow Lane Elementary,43.2,C,62.1,2
Burke County Schools,120368,Ray Childers Elementary,70.3,C,62,2
Catawba County Schools,180376,Saint Stephens High,46.3,B,62,2
Chatham County Schools,190308,Bonlee School,59.1,C,62,2
Currituck County Schools,270310,Shawboro Elementary School,33.8,C,62,2
McDowell County Schools,590336,North Cove Elementary School,59.9,C,62,2
Charlotte-Mecklenburg Schools,600496,Phillip O Berry Academy of Technology,56.3,B,62,2
New Hanover County Schools,650326,Emsley A Laney High,48,B,62,2
Stokes County Schools,850316,King Elementary,60.7,C,62,2
Wake County Schools,920420,Fuquay-Varina Elementary,35.7,C,62,2
Davidson County Schools,290324,East Davidson High,35.7,B,61.9,2
Rockingham County Schools,790378,Rockingham County High,32.1,B,61.9,2
Sampson County Schools,820312,Roseboro Elementary,77,C,61.9,2
Surry County Schools,860324,Franklin Elementary,73.8,C,61.9,2
Wake County Schools,920417,Forest Pines Drive Elementary,44.2,C,61.9,2
Wake County Schools,920451,Harris Creek Elementary,35.3,C,61.9,2
Wake County Schools,920545,Rolesville Middle,27.5,C,61.9,2
Buncombe County Schools,110318,Black Mountain Elementary,54.9,C,61.8,2
Guilford County Schools,410442,Kiser Middle,57.3,C,61.8,2
Rowan-Salisbury Schools,800364,Landis Elementary,47.1,C,61.8,2
Sampson County Schools,820348,Hobbton High,58.7,B,61.8,2
Stanly County Schools,840304,Aquadale Elementary,49.5,C,61.8,2
Yancey County Schools,995320,Clearmont Elementary,45,C,61.8,2
Alamance-Burlington Schools,10403,Western Alamance Middle,39.4,C,61.7,2
Guilford County Schools,410523,Pleasant Garden Elementary,46.4,C,61.7,2
Johnston County Schools,510414,West View Elementary,26.6,C,61.7,2
Charlotte-Mecklenburg Schools,600377,East Mecklenburg High,52.7,B,61.7,2
Polk County Schools,750318,Polk County High School,40.9,B,61.7,2
Stanly County Schools,840312,Endy Elementary,45.7,C,61.7,2
Stokes County Schools,850352,South Stokes High,44.1,B,61.7,2
Surry County Schools,860330,Meadowview Magnet Middle,66,C,61.7,2
Wilkes County Schools,970308,Boomer-Ferguson Elementary School,63.8,C,61.7,2
Wilkes County Schools,970368,Roaring River Elementary School,35.1,C,61.7,2
Cabarrus County Schools,130304,A T Allen Elementary,58.1,C,61.6,2
Duplin County Schools,310364,North Duplin Jr Sr High,54.4,B,61.6,2
Guilford County Schools,410418,Jamestown Elementary,49.8,B,61.6,2
Harnett County Schools,430349,Highland Elementary,40.4,C,61.6,2
Wake County Schools,920325,Banks Road Elementary,32.1,C,61.6,2
Wake County Schools,920584,Wake Forest Elementary,48.4,C,61.6,2
Chatham County Schools,190342,Northwood High,26.5,B,61.5,2
Gaston County Schools,360478,Pinewood Elementary,43.7,C,61.5,2
Lincoln County Schools,550328,Iron Station Elementary,52.3,C,61.5,2
Rutherford County Schools,810326,Chase Middle School,39,C,61.5,2
Swain County Schools,870320,Swain County East Elementary,64,C,61.5,2
Currituck County Schools,270320,W T Griggs Elementary,47.8,C,61.4,2
Dare County Schools,280320,Manteo Middle School,47.3,B,61.4,2
Gaston County Schools,360482,Ida Rankin Elementary School,50.7,B,61.4,2
Pasquotank County Schools,700314,Northside Elementary,53.9,C,61.4,2
Yadkin County Schools,990321,Forbush Middle,54.8,C,61.4,2
Charter Schools,61R000,Matthews Charter Academy,33.7,C,61.4,2
Alamance-Burlington Schools,10308,Altamahaw-Ossipee Elementary,46.8,C,61.3,2
Burke County Schools,120376,Table Rock Middle,58.2,C,61.3,2
McDowell County Schools,590393,Foothills Community School,48.4,C,61.3,2
Surry County Schools,860306,Central Middle,68.9,C,61.3,2
Wake County Schools,920428,Fuquay-Varina High,24.4,B,61.3,2
Wayne County Public Schools,960334,Fremont STARS Elementary,57.6,C,61.3,2
Wilson County Schools,980392,Vinson-Bynum Elementary,46.9,C,61.3,2
Yancey County Schools,995316,Cane River Middle,52.7,C,61.3,2
Avery County Schools,60322,Freedom Trail Elementary,65.4,B,61.2,2
Cherokee County Schools,200320,Martins Creek Elementary/Mid,29.1,C,61.2,2
Cumberland County Schools,260373,Gallberry Farm Elementary,55.9,C,61.2,2
Guilford County Schools,410408,Middle College at GTCC-High Point,45.7,B,61.2,2
Charlotte-Mecklenburg Schools,600488,Oaklawn Language Academy,63.7,C,61.2,2
Moore County Schools,630316,Carthage Elementary,57.3,B,61.2,2
Wake County Schools,920544,Rolesville Elementary,32,C,61.2,2
Wilkes County Schools,970376,Traphill Elementary School,52.2,C,61.2,2
Charter Schools,24N000,Columbus Charter School,69.7,C,61.2,2
Charter Schools,79A000,Bethany Community School,16.6,C,61.2,2
Forsyth County Schools,340508,Sedge Garden Elementary,52.2,C,61.1,2
Gaston County Schools,360456,Mount Holly Middle,44.2,C,61.1,2
Iredell-Statesville Schools,490362,South Iredell High,23,B,61.1,2
Lee County Schools,530340,J Glenn Edwards Elementary,79.2,C,61.1,2
Charlotte-Mecklenburg Schools,600516,Reedy Creek Elementary,63.4,C,61.1,2
Onslow County Schools,670341,Sand Ridge Elementary,56.2,C,61.1,2
Clinton City Schools,821304,Butler Avenue Elementary,73.7,C,61.1,2
Stanly County Schools,840360,Stanfield Elementary,50.5,C,61.1,2
Yancey County Schools,995330,Mountain Heritage High,43.1,B,61.1,2
Buncombe County Schools,110376,Leicester Elementary,69.4,C,61,2
Catawba County Schools,180336,Clyde Campbell Elementary,42.3,C,61,2
Weldon City Schools,422310,Roanoke Valley Early College,30,B,61,2
Iredell-Statesville Schools,490312,Celeste Henkel Elementary,59.8,C,61,2
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,49.9,C,61,2
Cabarrus County Schools,130308,Bethel Elementary,43.4,C,60.9,2
Hoke County Schools,470336,West Hoke Elementary,69.6,C,60.9,2
Pitt County Schools,740336,Eastern Elementary,59.8,C,60.9,2
Richmond County Schools,770318,Fairview Heights Elementary,85,C,60.9,2
Rockingham County Schools,790310,Central Elementary,53.8,C,60.9,2
Buncombe County Schools,110306,Reynolds Middle,59.2,C,60.8,2
Carteret County Public Schools,160324,Newport Elementary,72.7,C,60.8,2
Duplin County Schools,310330,Chinquapin Elementary,60.5,C,60.8,2
Charlotte-Mecklenburg Schools,600384,Elizabeth Traditional Elem,52.5,C,60.8,2
Charter Schools,51B000,Johnston Charter Academy,23.2,C,60.8,2
Charter Schools,60Y000,Pioneer Springs Community School,5.1,C,60.8,2
Craven County Schools,250306,Ben D Quinn Elementary,54.1,C,60.7,2
Pitt County Schools,740302,A G Cox Middle,48.9,C,60.7,2
Clinton City Schools,821330,Sunset Avenue Elementary,70,C,60.7,2
Stanly County Schools,840344,Richfield Elementary,44.6,C,60.7,2
Burke County Schools,120338,Hildebran Elementary,64.5,C,60.6,2
Davidson County Schools,290336,Ledford Senior High,33.1,B,60.6,2
Henderson County Schools,450322,Edneyville Elementary,70.8,C,60.6,2
Jackson County Schools,500314,Fairview Elementary,55.5,C,60.6,2
Pitt County Schools,740333,D H Conley High,28.9,B,60.6,2
Stanly County Schools,840350,West Stanly Middle School,39.1,B,60.6,2
Cleveland County Schools,230348,Jefferson Elementary,53.5,C,60.5,2
Cumberland County Schools,260406,Pine Forest Middle,52,C,60.5,2
Macon County Schools,560304,Cartoogechaye Elementary,55,C,60.5,2
Person County Schools,730348,Oak Lane Elementary,22.8,C,60.5,2
Randolph County Schools,760356,Seagrove Elementary,61.6,C,60.5,2
Stokes County Schools,850332,North Stokes High,45.2,B,60.5,2
Transylvania County Schools,880324,Rosman Elementary,63,C,60.5,2
Charlotte-Mecklenburg Schools,600369,Berewick Elementary,47.3,C,60.4,2
Pasquotank County Schools,700306,Central Elementary,56.2,C,60.4,2
Wake County Schools,920576,Vance Elementary,34.1,C,60.4,2
Wilkes County Schools,970337,Millers Creek Elementary School,39.5,C,60.4,2
Burke County Schools,120318,Freedom High,51.8,B,60.3,2
Halifax County Schools,420336,Hollister Elementary Leadership Academy,59.4,C,60.3,2
Charlotte-Mecklenburg Schools,600368,First Ward Creative Arts Acad,55.1,C,60.3,2
Surry County Schools,860302,Cedar Ridge Elementary,70,C,60.3,2
Cumberland County Schools,260408,Pine Forest High,59.5,B,60.2,2
Asheboro City Schools,761312,Balfour Elementary,86.2,C,60.2,2
Swain County Schools,870318,Swain County Middle School,58.1,C,60.2,2
Yadkin County Schools,990336,Yadkinville Elementary,75.7,C,60.2,2
Catawba County Schools,180344,Maiden Elementary,59.1,C,60.1,2
Cleveland County Schools,230340,Fallston Elementary,48,C,60.1,2
Craven County Schools,250380,Arthur W Edwards Elementary,53.8,C,60.1,2
Davidson County Schools,290356,Reeds Elementary,54.7,C,60.1,2
Guilford County Schools,410311,Allen Jay Middle - A Preparatory Academy,41.4,C,60.1,2
Lincoln County Schools,550342,North Brook Elementary,66.8,C,60.1,2
Davidson County Schools,290309,Central Davidson Middle,55.3,C,60,2
Haywood County Schools,440364,Meadowbrook Elementary,59,C,60,2
Johnston County Schools,510334,Dixon Road Elementary,37.8,C,60,2
Rockingham County Schools,790362,John W Dillard Academy,55.2,C,60,2
Alamance-Burlington Schools,10304,Alexander Wilson Elementary,49.8,C,59.9,3
Alamance-Burlington Schools,10390,Southern Alamance Middle,37,C,59.9,3
Caldwell County Schools,140336,Granite Falls Middle,42.3,C,59.9,3
Iredell-Statesville Schools,490349,North Iredell Middle,45.6,C,59.9,3
Jones County Schools,520328,Maysville Elementary,73,C,59.9,3
Lee County Schools,530312,Deep River Elementary,78.7,C,59.9,3
Charlotte-Mecklenburg Schools,600349,Cotswold IB Elementary,35.3,C,59.9,3
Moore County Schools,630312,Cameron Elementary,61.2,C,59.9,3
Randolph County Schools,760388,Wheatmore High,31.4,B,59.9,3
Rockingham County Schools,790318,Douglass Elementary,63.9,C,59.9,3
Swain County Schools,870324,Swain County West Elementary,33.8,C,59.9,3
Wilkes County Schools,970315,Central Wilkes Middle School,40.6,C,59.9,3
Brunswick County Schools,100332,Shallotte Middle,66.1,C,59.8,3
Charlotte-Mecklenburg Schools,600499,Charlotte-Mecklenburg Virtual HS,24,C,59.8,3
Wake County Schools,920318,Athens Drive High,37.6,B,59.8,3
Wake County Schools,920588,Wake Forest High School,23.5,B,59.8,3
Charter Schools,61Q000,Mallard Creek STEM Academy,15.4,C,59.8,3
Buncombe County Schools,110420,Valley Springs Middle,45.2,C,59.7,3
Burke County Schools,120324,Glen Alpine Elementary,68.7,C,59.7,3
Cabarrus County Schools,130309,Beverly Hills Elementary,31.2,C,59.7,3
Currituck County Schools,270304,Central Elementary,45.4,C,59.7,3
McDowell County Schools,590330,McDowell High School,52.9,B,59.7,3
Mitchell County Schools,610326,Harris Middle,59.6,C,59.7,3
Pender County Schools,710318,Cape Fear Elementary,80.9,C,59.7,3
Stanly County Schools,840324,Millingport Elementary,48,B,59.7,3
Surry County Schools,860356,Westfield Elementary,70.2,C,59.7,3
Wayne County Public Schools,960454,Northwest Elementary,51.2,C,59.7,3
Wilson County Schools,980324,Elm City Middle,18.5,C,59.7,3
Hickory City Schools,181312,Northview Middle,53.8,C,59.6,3
Durham Public Schools,320340,Little River K-8 School,39.8,C,59.6,3
Lenoir County Public Schools,540304,Banks Elementary,55.3,C,59.6,3
Lenoir County Public Schools,540328,Pink Hill Elementary,68.1,C,59.6,3
Onslow County Schools,670351,Swansboro Middle,45.9,C,59.6,3
Wayne County Public Schools,960370,Rosewood Elementary,47.2,C,59.6,3
Alamance-Burlington Schools,10396,Walter M Williams High,52.4,B,59.5,3
Buncombe County Schools,110425,Enka Intermediate,59.9,C,59.5,3
Buncombe County Schools,110450,Koontz Intermediate,50.1,C,59.5,3
Asheville City Schools,111356,Asheville Middle,39.8,C,59.5,3
Edenton-Chowan Schools,210306,D F Walker Elementary,66.6,C,59.5,3
Davidson County Schools,290376,Tyro Middle,55.1,B,59.5,3
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High,51.3,B,59.5,3
Orange County Schools,680304,A L Stanback Middle,52.3,C,59.5,3
Charter Schools,44A000,Shining Rock Classical Academy CFA,22.1,C,59.5,3
Guilford County Schools,410361,Erwin Montessori,78.5,C,59.4,3
Lee County Schools,530320,Greenwood Elementary,77.8,C,59.4,3
Onslow County Schools,670342,Silverdale Elementary,53.5,C,59.4,3
Rutherford County Schools,810378,R-S Middle School,38,C,59.4,3
Charter Schools,74C000,Winterville Charter Academy,53.7,C,59.4,3
Forsyth County Schools,340480,Paisley IB Magnet School,51.8,C,59.3,3
Gaston County Schools,360488,Robinson Elementary,49.2,C,59.3,3
Roanoke Rapids City Schools,421328,Manning Elementary School,62.8,C,59.3,3
New Hanover County Schools,650346,Mary C Williams Elementary,71.1,C,59.3,3
Wake County Schools,920552,Sanderson High,30.7,B,59.3,3
Watauga County Schools,950308,Bethel Elementary,54.2,C,59.3,3
Charter Schools,76A000,Uwharrie Charter Academy,13.9,C,59.3,3
Hickory City Schools,181326,W M Jenkins Elementary,47.5,C,59.2,3
Roanoke Rapids City Schools,421336,Roanoke Rapids Early College High,51.4,C,59.2,3
Charlotte-Mecklenburg Schools,600422,Huntingtowne Farms Elementary,39.2,C,59.2,3
Randolph County Schools,760331,Level Cross Elementary,57.3,C,59.2,3
Caldwell County Schools,140316,Dudley Shoals Elementary,61.9,C,59.1,3
Guilford County Schools,410423,Jefferson Elementary,48.1,C,59.1,3
Guilford County Schools,410483,Middle College at NC A&T,54.9,C,59.1,3
Lincoln County Schools,550372,West Lincoln Middle,54.5,C,59.1,3
Moore County Schools,630332,North Moore High,56.7,B,59.1,3
Vance County Schools,910376,L B Yancey Elementary,73.1,C,59.1,3
Yadkin County Schools,990322,Forbush High,44.5,B,59.1,3
Buncombe County Schools,110332,Bell Elementary,53,C,59,3
Burke County Schools,120346,Jimmy C Draughn High School,42,B,59,3
Catawba County Schools,180346,Maiden Middle School,44.4,C,59,3
Craven County Schools,250324,Grover C Fields Middle,45.1,C,59,3
Davie County Schools,300312,Davie County High,37.1,C,59,3
Wake County Schools,920568,Swift Creek Elementary,39.9,C,59,3
Wilkes County Schools,970360,North Wilkesboro Elementary School,59.8,C,59,3
Guilford County Schools,410578,Triangle Lake Montessori Elem,74.3,C,58.9,3
Wake County Schools,920344,Brooks Elementary,38,C,58.9,3
Wilkes County Schools,970356,North Wilkes High School,46.6,B,58.9,3
Charter Schools,61W000,East Voyager Academy of Charlotte,17.5,C,58.9,3
Guilford County Schools,410550,Southeast Guilford Middle,46.7,C,58.8,3
Guilford County Schools,410565,Southwest Guilford Middle,46.7,C,58.8,3
Martin County Schools,580324,Jamesville Elementary,36.8,C,58.8,3
New Hanover County Schools,650400,Winter Park Model Elementary,68.6,C,58.8,3
Onslow County Schools,670346,Summersill Elementary,63.6,C,58.8,3
Pitt County Schools,740308,Ayden Middle,56.5,C,58.8,3
Brunswick County Schools,100334,South Brunswick High,51.6,B,58.7,3
Gaston County Schools,360344,Carr Elementary,47.8,C,58.7,3
Harnett County Schools,430330,Coats-Erwin Middle,64.1,C,58.7,3
Iredell-Statesville Schools,490364,Troutman Elementary,42.1,C,58.7,3
Charlotte-Mecklenburg Schools,600587,Windsor Park Elementary,47.2,C,58.7,3
New Hanover County Schools,650309,Castle Hayne Elementary,62.2,C,58.7,3
Rutherford County Schools,810336,Forest City-Dunbar Elementary School,67.9,C,58.7,3
Charter Schools,32A000,Maureen Joy Charter School,>95,C,58.7,3
Wake County Schools,920592,Wake Forest Middle School,39.7,C,58.6,3
Charter Schools,45B000,FernLeaf Community Charter School,13.7,C,58.6,3
Buncombe County Schools,110408,Sand Hill-Venable Elem,71.8,C,58.5,3
Davie County Schools,300330,South Davie Middle,65.1,C,58.5,3
Granville County Schools,390336,Joe Toler-Oak Hill Elementary,65.9,C,58.5,3
Guilford County Schools,410541,Shadybrook Elementary,57.8,C,58.5,3
Lee County Schools,530302,BT Bullock Elementary,73.2,C,58.5,3
Macon County Schools,560331,Mountain View Intermediate,62,C,58.5,3
Charlotte-Mecklenburg Schools,600468,Governors Village STEM Academy (Lower),41.7,C,58.5,3
Richmond County Schools,770368,West Rockingham Elementary,85,C,58.5,3
Sampson County Schools,820376,Salemburg Elementary,72.3,C,58.5,3
Wake County Schools,920500,Millbrook High,30.6,B,58.5,3
Dare County Schools,280312,Manteo Elementary School,52.4,C,58.4,3
Lincoln County Schools,550334,Lincolnton Middle,72.1,C,58.4,3
