,county,child_abuse_rate,children_conc_pov,elevated_lead,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
72,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60316,Crossnore Elementary,Crossnore,"1000 Walt Clark Road, Crossnore, NC 28616",-81.9254669,36.025739,Avery County Schools,58.50,C,56.20,3.0
73,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60328,Newland Elementary,Newland,"750 Linville Street, Newland, NC 28657",-81.9267812,36.0851342,Avery County Schools,73.00,C,56.70,3.0
74,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,06B000,Marjorie Williams Academy,Crossnore,"129 Allen Circle, Crossnore, NC 28616",-81.928458,36.024783,Charter Schools,74.10,D,43.20,3.0
75,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60310,Cranberry Middle,Elk Park,"6230 North Highway 19E, Elk Park, NC 28622",-81.965388,36.1466445,Avery County Schools,53.20,B,77.00,2.0
76,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60322,Freedom Trail Elementary,Elk Park,"6110 North US Hwy 19E, Elk Park, NC 28622",-81.965574,36.1462441,Avery County Schools,65.40,B,61.20,2.0
77,Avery,4.1,0.0,0.7,45.9,16.5,15.4,10.9,2.0,24.4,41701.0,60332,Riverside Elementary,Newland,"8020 US 19E Hwy South, Newland, NC 28657",-81.9663918,36.143764,Avery County Schools,51.60,C,52.60,3.0
78,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70329,Northeast Elementary,Pinetown,"21000 US Hwy 264 East, Pinetown, NC 27865",-76.7093004,35.5382576,Beaufort County Schools,56.60,C,49.70,3.0
79,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70330,Northside High,Pinetown,"7868 Free Union Church Road, Pinetown, NC 27865",-76.7299827,35.5365774,Beaufort County Schools,42.10,C,43.60,3.0
80,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70340,S W Snowden Elementary,Aurora,"693 North 7th Street, Aurora, NC 27806",-76.7925358,35.3064178,Beaufort County Schools,84.40,C,43.60,3.0
81,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70308,Bath Elementary,Bath,"110 S King Street, Bath, NC 27808",-76.8111894,35.4751685,Beaufort County Schools,27.70,C,68.30,2.0
82,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70311,Beaufort Co Early College High,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105,Beaufort County Schools,53.10,A,>95,1.0
83,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,07A000,Washington Montessori,Washington,"2330 Old Bath Hwy, Washington, NC 27889",-76.9795696,35.5398036,Charter Schools,10.00,C,65.80,2.0
84,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70342,Washington High,Washington,"400 Slatestone Road, Washington, NC 27889",-77.0151413,35.5573276,Beaufort County Schools,50.20,C,36.50,4.0
85,Beaufort,5.0,0.0,1.8,29.2,11.8,12.0,33.8,1.0,26.2,46411.0,70338,P S Jones Middle,Washington,"4105 N Market Street Ext, Washington, NC 27889",-77.0351852,35.5990328,Beaufort County Schools,60.80,C,49.70,3.0
