county,county_tier,poverty_county,median_inc_county,code,name,city,full_address,long,lat,district,percent_EDS,SPgrade,EOG_18_19,EOG_quintile
Avery,2,24.40,41701,60302,Avery County High,Newland,"401 Avery County High School Road, Newland, NC 28657",-81.91897,36.0692387,Avery County Schools,46.90,B,62.50,2.00
Avery,2,24.40,41701,60316,Crossnore Elementary,Crossnore,"1000 Walt Clark Road, Crossnore, NC 28616",-81.9254669,36.025739,Avery County Schools,58.50,C,56.20,3.00
Avery,2,24.40,41701,60328,Newland Elementary,Newland,"750 Linville Street, Newland, NC 28657",-81.9267812,36.0851342,Avery County Schools,73.00,C,56.70,3.00
Avery,2,24.40,41701,06B000,Marjorie Williams Academy,Crossnore,"129 Allen Circle, Crossnore, NC 28616",-81.928458,36.024783,Charter Schools,74.10,D,43.20,3.00
Avery,2,24.40,41701,60310,Cranberry Middle,Elk Park,"6230 North Highway 19E, Elk Park, NC 28622",-81.965388,36.1466445,Avery County Schools,53.20,B,77.00,2.00
Avery,2,24.40,41701,60322,Freedom Trail Elementary,Elk Park,"6110 North US Hwy 19E, Elk Park, NC 28622",-81.965574,36.1462441,Avery County Schools,65.40,B,61.20,2.00
Avery,2,24.40,41701,60332,Riverside Elementary,Newland,"8020 US 19E Hwy South, Newland, NC 28657",-81.9663918,36.143764,Avery County Schools,51.60,C,52.60,3.00
Beaufort,1,26.20,46411,70329,Northeast Elementary,Pinetown,"21000 US Hwy 264 East, Pinetown, NC 27865",-76.7093004,35.5382576,Beaufort County Schools,56.60,C,49.70,3.00
Beaufort,1,26.20,46411,70330,Northside High,Pinetown,"7868 Free Union Church Road, Pinetown, NC 27865",-76.7299827,35.5365774,Beaufort County Schools,42.10,C,43.60,3.00
Beaufort,1,26.20,46411,70340,S W Snowden Elementary,Aurora,"693 North 7th Street, Aurora, NC 27806",-76.7925358,35.3064178,Beaufort County Schools,84.40,C,43.60,3.00
Beaufort,1,26.20,46411,70308,Bath Elementary,Bath,"110 S King Street, Bath, NC 27808",-76.8111894,35.4751685,Beaufort County Schools,27.70,C,68.30,2.00
Beaufort,1,26.20,46411,70311,Beaufort Co Early College High,Washington,"5337 Hwy 264 East, Washington, NC 27889",-76.9652678,35.5337105,Beaufort County Schools,53.10,A,>95,1.00
Beaufort,1,26.20,46411,07A000,Washington Montessori,Washington,"2330 Old Bath Hwy, Washington, NC 27889",-76.9795696,35.5398036,Charter Schools,10.00,C,65.80,2.00
