id,EOG_quintile,percent_EDS,child_abuse_rate,children_conc_pov,parent,juv_delinquent,No_HSdegree,parent_unemployed,county_poc,county_tier,poverty_county,median_inc_county
624,2,37.1,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
625,2,12.8,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
626,2,9,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
627,2,53.1,5.5,1.8,1.1,13.7,5.9,8.6,32.3,1,21.3,50531
628,2,51.7,7.8,0,1.5,15.2,11.8,13.8,6.7,3,20.1,47183
629,2,54.7,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
630,2,52.4,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
631,2,52.2,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
632,2,48.5,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
633,2,17.8,3,0,2.6,22.8,10.2,2.8,11.5,3,12.4,64426
634,2,66,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
635,2,46.6,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
636,2,43.8,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
637,2,21.4,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
638,2,73.5,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
639,2,53.7,7.8,4.1,1,13.1,8.2,5.6,15.9,3,15,54012
640,2,53.5,4.4,16,1.6,21.2,12.6,8.6,35.8,2,18.3,50480
641,2,44.2,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
642,2,26.1,11.1,0,1,9.6,14,8.8,7.6,2,25.8,41262
643,2,19.5,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
644,2,62.2,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
645,2,52.5,4.1,0,0.7,45.9,16.5,15.4,10.9,2,24.4,41701
646,2,37.2,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
647,2,29,3,0,1.5,14.3,9.7,6.7,23.9,3,20.8,54900
648,2,19.7,1.4,2.6,1,9,11,7.3,31.8,3,15.4,60296
649,2,15.9,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
650,2,14.5,2.2,22.5,1.9,18.4,16.7,12.7,52.5,1,29.6,44015
651,2,54.9,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
652,2,49.7,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
653,2,46.3,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
654,2,43.2,4.8,1.4,1.2,11.5,7.9,6.7,15.3,3,16.6,53960
655,2,35.8,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
656,2,35.2,2.6,0,0.7,13,11.5,9.7,8.7,2,21.3,51398
657,2,30.9,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
658,2,27.7,5,0,1.8,29.2,11.8,12,33.8,1,26.2,46411
659,2,24,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
660,2,20,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
661,2,60.5,5.2,0,1.1,12.3,12.5,5.5,7.1,2,23.3,41864
662,2,41.6,9.5,0,1.5,16.9,12.9,6.1,8,2,16.6,50826
663,2,37.1,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
664,2,31.3,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
665,2,15.2,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
666,2,58.3,0.1,21.4,1.3,16.3,18.6,7.1,49,1,33.1,42807
667,2,60,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
668,2,50.4,2.7,0,0.9,23.2,17,12.5,17.6,2,19.9,44946
669,2,29.2,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
670,2,24.5,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
671,2,43.9,2.8,7.1,0.5,19.1,17.2,7.6,11.9,1,20.3,43328
672,2,22,5.8,7.1,0.8,24.8,8.8,6,23.3,3,13,60044
673,2,74.7,4.3,4,2.5,19.9,19.4,13.5,15.8,2,22.6,46342
674,2,51.3,1.1,27.9,1.5,23.3,9.8,9.5,42.7,2,23,50112
675,2,36.5,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
676,2,35,0.8,1.7,1.1,17.3,7.9,3.6,27.4,3,8.3,80428
677,2,36,3.5,13.9,1.5,18.6,13.2,7.4,14.1,3,13.5,62963
678,2,18.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
679,2,54.2,13.8,16.7,1.4,24.4,14,10.6,26.3,1,27.1,42728
680,2,45.2,0.8,11.8,1,4.8,12.6,9.2,35.7,2,18.7,57710
681,2,44.2,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
682,2,42.7,3.3,12.3,1,17.6,15.1,8.7,19.3,2,20,47758
683,2,41.9,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
684,2,35.8,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
685,2,20.8,12.5,11.4,2,16.6,13.3,11.6,16,1,25.9,42831
686,2,71.3,7.6,2.6,0.6,13.3,6.2,7.4,12.3,2,15.5,55052
687,2,50.2,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
688,2,35.2,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
689,2,32.2,4.4,16,1.6,21.2,12.6,8.6,35.8,2,18.3,50480
690,2,29.1,2,20.5,0.9,9.9,11.5,8.6,56.6,3,18.9,59329
691,2,21.3,3.2,0,0.9,11.9,12.6,9.2,18.4,2,9,65955
692,2,20.9,2.6,0,0.7,13,11.5,9.7,8.7,2,21.3,51398
693,2,9.1,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
694,2,42.9,11.1,0,1,9.6,14,8.8,7.6,2,25.8,41262
695,2,41.8,2.9,0,1.7,27,17.5,5.3,12.5,2,18.8,49138
696,2,37.9,0.9,11.2,0.4,14.2,12.3,5.7,27.3,3,13.1,73703
697,2,48.7,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
698,2,45.5,1.6,14.1,1.5,28.9,14.3,5.7,41.3,2,22.2,48984
699,2,36.7,2.2,12.9,0.8,17.5,8.6,4.9,52.7,3,16.4,64509
700,2,34,3.6,4.5,1,6.5,8.2,3.4,34.2,3,10.9,69297
701,2,40.1,0.2,18.6,1.1,22.1,9.1,8,49.3,2,22.1,52166
702,2,53.9,5.9,14,0.4,22.3,11,11.1,10.4,2,26.5,46426
703,2,51.6,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
704,2,50.7,2.1,33.2,1.2,10.4,13.8,11,46,1,29.4,41572
705,2,50.1,2.6,5.3,1.1,15.1,14.3,7.1,23.7,2,18.7,53738
706,2,49.8,6.3,18.9,1.3,11.5,6.3,8.3,21.6,3,20,53419
707,2,35.8,1.8,3.1,1.2,6.7,5.9,4,39.1,3,9.7,80169
708,2,71.9,4.6,8.9,0.5,14.4,7.8,10.3,17,3,19,60163
709,2,60.8,11.1,0,1,9.6,14,8.8,7.6,2,25.8,41262
710,2,49,3.6,4.5,1,6.5,8.2,3.4,34.2,3,10.9,69297
711,2,48.2,6.5,8.9,2.5,30.6,17.2,6.8,12.4,1,26.5,44080
712,2,46.2,3.3,3.5,1.4,13.7,17.5,9.9,20.3,2,19.1,48372
713,2,45.4,3,8.8,1.3,20.7,6.6,10.5,56,1,22.2,46779
714,2,39.3,2.7,6.2,1.3,14.3,12.6,10.7,27,2,16.6,52798
