District Name,"School
Code",School Name,Grade Span,Percent EDS,"School Performance 
Grade
(SPG)","Academic Assessments Score
(Reading and Mathematics EOG/EOC)",EOG_Quintile,,
Wilkes County Schools,970308,Boomer-Ferguson Elementary School,PK-05,63.8,C,61.7,,,
Wilkes County Schools,970368,Roaring River Elementary School,PK-05,35.1,C,61.7,,,
Cabarrus County Schools,130304,A T Allen Elementary,0K-05,58.1,C,61.6,,,
Duplin County Schools,310364,North Duplin Jr Sr High,07-12,54.4,B,61.6,,,
Guilford County Schools,410418,Jamestown Elementary,PK-05,49.8,B,61.6,,,
Harnett County Schools,430349,Highland Elementary,0K-05,40.4,C,61.6,,,
Wake County Schools,920325,Banks Road Elementary,PK-05,32.1,C,61.6,,,
Wake County Schools,920584,Wake Forest Elementary,PK-05,48.4,C,61.6,,,
Chatham County Schools,190342,Northwood High,09-12,26.5,B,61.5,,,
Gaston County Schools,360478,Pinewood Elementary,PK-05,43.7,C,61.5,,,
Lincoln County Schools,550328,Iron Station Elementary,PK-05,52.3,C,61.5,,,
Rutherford County Schools,810326,Chase Middle School,06-08,39.0,C,61.5,,,
Swain County Schools,870320,Swain County East Elementary,0K-05,64.0,C,61.5,,,
Currituck County Schools,270320,W T Griggs Elementary,PK-05,47.8,C,61.4,,,
Dare County Schools,280320,Manteo Middle School,06-08,47.3,B,61.4,,,
Gaston County Schools,360482,Ida Rankin Elementary School,PK-05,50.7,B,61.4,,,
Pasquotank County Schools,700314,Northside Elementary,0K-05,53.9,C,61.4,,,
Yadkin County Schools,990321,Forbush Middle,07-08,54.8,C,61.4,,,
Charter Schools,61R000,Matthews Charter Academy,0K-08,33.7,C,61.4,,,
Alamance-Burlington Schools,010308,Altamahaw-Ossipee Elementary,0K-05,46.8,C,61.3,,,
Burke County Schools,120376,Table Rock Middle,06-08,58.2,C,61.3,,,
McDowell County Schools,590393,Foothills Community School,06-08,48.4,C,61.3,,,
Surry County Schools,860306,Central Middle,06-08,68.9,C,61.3,,,
Wake County Schools,920428,Fuquay-Varina High,09-12,24.4,B,61.3,,,
Wayne County Public Schools,960334,Fremont STARS Elementary,PK-05,57.6,C,61.3,,,
Wilson County Schools,980392,Vinson-Bynum Elementary,0K-05,46.9,C,61.3,,,
Yancey County Schools,995316,Cane River Middle,06-08,52.7,C,61.3,,,
Avery County Schools,060322,Freedom Trail Elementary,PK-05,65.4,B,61.2,,,
Cherokee County Schools,200320,Martins Creek Elementary/Mid,PK-08,29.1,C,61.2,,,
Cumberland County Schools,260373,Gallberry Farm Elementary,PK-05,55.9,C,61.2,,,
Guilford County Schools,410408,Middle College at GTCC-High Point,09-13,45.7,B,61.2,,,
Charlotte-Mecklenburg Schools,600488,Oaklawn Language Academy,0K-08,63.7,C,61.2,,,
Moore County Schools,630316,Carthage Elementary,PK-05,57.3,B,61.2,,,
Wake County Schools,920544,Rolesville Elementary,PK-05,32.0,C,61.2,,,
Wilkes County Schools,970376,Traphill Elementary School,PK-05,52.2,C,61.2,,,
Charter Schools,24N000,Columbus Charter School,0K-08,69.7,C,61.2,,,
Charter Schools,79A000,Bethany Community School,06-10,16.6,C,61.2,,,
Forsyth County Schools,340508,Sedge Garden Elementary,PK-05,52.2,C,61.1,,,
Gaston County Schools,360456,Mount Holly Middle,06-08,44.2,C,61.1,,,
Iredell-Statesville Schools,490362,South Iredell High,09-12,23.0,B,61.1,,,
Lee County Schools,530340,J Glenn Edwards Elementary,0K-05,79.2,C,61.1,,,
Charlotte-Mecklenburg Schools,600516,Reedy Creek Elementary,PK-05,63.4,C,61.1,,,
Onslow County Schools,670341,Sand Ridge Elementary,0K-05,56.2,C,61.1,,,
Clinton City Schools,821304,Butler Avenue Elementary,02-03,73.7,C,61.1,,,
Stanly County Schools,840360,Stanfield Elementary,PK-05,50.5,C,61.1,,,
Yancey County Schools,995330,Mountain Heritage High,PK-12,43.1,B,61.1,,,
Buncombe County Schools,110376,Leicester Elementary,0K-04,69.4,C,61.0,,,
Catawba County Schools,180336,Clyde Campbell Elementary,0K-06,42.3,C,61.0,,,
Weldon City Schools,422310,Roanoke Valley Early College,09-13,30.0,B,61.0,,,
Iredell-Statesville Schools,490312,Celeste Henkel Elementary,PK-05,59.8,C,61.0,,,
Charlotte-Mecklenburg Schools,600442,Blythe Elementary,PK-05,49.9,C,61.0,,,
Cabarrus County Schools,130308,Bethel Elementary,0K-05,43.4,C,60.9,,,
Hoke County Schools,470336,West Hoke Elementary,PK-05,69.6,C,60.9,,,
Pitt County Schools,740336,Eastern Elementary,0K-05,59.8,C,60.9,,,
Richmond County Schools,770318,Fairview Heights Elementary,PK-05,85.0,C,60.9,,,
Rockingham County Schools,790310,Central Elementary,0K-05,53.8,C,60.9,,,
Buncombe County Schools,110306,Reynolds Middle,06-08,59.2,C,60.8,,,
Carteret County Public Schools,160324,Newport Elementary,PK-05,72.7,C,60.8,,,
Duplin County Schools,310330,Chinquapin Elementary,PK-08,60.5,C,60.8,,,
Charlotte-Mecklenburg Schools,600384,Elizabeth Traditional Elem,0K-05,52.5,C,60.8,,,
Charter Schools,51B000,Johnston Charter Academy,0K-07,23.2,C,60.8,,,
Charter Schools,60Y000,Pioneer Springs Community School,0K-07,5.1,C,60.8,,,
Craven County Schools,250306,Ben D Quinn Elementary,PK-05,54.1,C,60.7,,,
Pitt County Schools,740302,A G Cox Middle,06-08,48.9,C,60.7,,,
Clinton City Schools,821330,Sunset Avenue Elementary,04-05,70.0,C,60.7,,,
Stanly County Schools,840344,Richfield Elementary,0K-05,44.6,C,60.7,,,
Burke County Schools,120338,Hildebran Elementary,PK-05,64.5,C,60.6,,,
Davidson County Schools,290336,Ledford Senior High,09-12,33.1,B,60.6,,,
Henderson County Schools,450322,Edneyville Elementary,0K-05,70.8,C,60.6,,,
Jackson County Schools,500314,Fairview Elementary,PK-08,55.5,C,60.6,,,
Pitt County Schools,740333,D H Conley High,09-12,28.9,B,60.6,,,
Stanly County Schools,840350,West Stanly Middle School,06-08,39.1,B,60.6,,,
Cleveland County Schools,230348,Jefferson Elementary,PK-04,53.5,C,60.5,,,
Cumberland County Schools,260406,Pine Forest Middle,06-08,52.0,C,60.5,,,
Macon County Schools,560304,Cartoogechaye Elementary,PK-04,55.0,C,60.5,,,
Person County Schools,730348,Oak Lane Elementary,0K-05,22.8,C,60.5,,,
Randolph County Schools,760356,Seagrove Elementary,0K-05,61.6,C,60.5,,,
Stokes County Schools,850332,North Stokes High,09-12,45.2,B,60.5,,,
Transylvania County Schools,880324,Rosman Elementary,PK-05,63.0,C,60.5,,,
Charlotte-Mecklenburg Schools,600369,Berewick Elementary,PK-05,47.3,C,60.4,,,
Pasquotank County Schools,700306,Central Elementary,0K-05,56.2,C,60.4,,,
Wake County Schools,920576,Vance Elementary,PK-05,34.1,C,60.4,,,
Wilkes County Schools,970337,Millers Creek Elementary School,PK-05,39.5,C,60.4,,,
Burke County Schools,120318,Freedom High,09-12,51.8,B,60.3,,,
Halifax County Schools,420336,Hollister Elementary Leadership Academy,PK-05,59.4,C,60.3,,,
Charlotte-Mecklenburg Schools,600368,First Ward Creative Arts Acad,0K-05,55.1,C,60.3,,,
Surry County Schools,860302,Cedar Ridge Elementary,PK-05,70.0,C,60.3,,,
Cumberland County Schools,260408,Pine Forest High,09-12,59.5,B,60.2,,,
Asheboro City Schools,761312,Balfour Elementary,PK-05,86.2,C,60.2,,,
Swain County Schools,870318,Swain County Middle School,PK-08,58.1,C,60.2,,,
Yadkin County Schools,990336,Yadkinville Elementary,PK-08,75.7,C,60.2,,,
Catawba County Schools,180344,Maiden Elementary,0K-06,59.1,C,60.1,,,
Cleveland County Schools,230340,Fallston Elementary,PK-05,48.0,C,60.1,,,
Craven County Schools,250380,Arthur W Edwards Elementary,0K-05,53.8,C,60.1,,,
Davidson County Schools,290356,Reeds Elementary,PK-05,54.7,C,60.1,,,
Guilford County Schools,410311,Allen Jay Middle - A Preparatory Academy,05-08,41.4,C,60.1,,,
Lincoln County Schools,550342,North Brook Elementary,PK-05,66.8,C,60.1,,,
Davidson County Schools,290309,Central Davidson Middle,06-08,55.3,C,60.0,,,
Haywood County Schools,440364,Meadowbrook Elementary,PK-05,59.0,C,60.0,,,
Johnston County Schools,510334,Dixon Road Elementary,PK-05,37.8,C,60.0,,,
Rockingham County Schools,790362,John W Dillard Academy,0K-05,55.2,C,60.0,,,
Alamance-Burlington Schools,010304,Alexander Wilson Elementary,PK-05,49.8,C,59.9,,,
Alamance-Burlington Schools,010390,Southern Alamance Middle,06-08,37.0,C,59.9,,,
Caldwell County Schools,140336,Granite Falls Middle,06-08,42.3,C,59.9,,,
Iredell-Statesville Schools,490349,North Iredell Middle,06-08,45.6,C,59.9,,,
Jones County Schools,520328,Maysville Elementary,PK-06,73.0,C,59.9,,,
Lee County Schools,530312,Deep River Elementary,0K-05,78.7,C,59.9,,,
Charlotte-Mecklenburg Schools,600349,Cotswold IB Elementary,03-05,35.3,C,59.9,,,
Moore County Schools,630312,Cameron Elementary,0K-05,61.2,C,59.9,,,
Randolph County Schools,760388,Wheatmore High,09-12,31.4,B,59.9,,,
Rockingham County Schools,790318,Douglass Elementary,PK-05,63.9,C,59.9,,,
Swain County Schools,870324,Swain County West Elementary,0K-05,33.8,C,59.9,,,
Wilkes County Schools,970315,Central Wilkes Middle School,06-08,40.6,C,59.9,,,
Brunswick County Schools,100332,Shallotte Middle,06-08,66.1,C,59.8,,,
Charlotte-Mecklenburg Schools,600499,Charlotte-Mecklenburg Virtual HS,09-12,24.0,C,59.8,,,
Wake County Schools,920318,Athens Drive High,09-12,37.6,B,59.8,,,
Wake County Schools,920588,Wake Forest High School,09-12,23.5,B,59.8,,,
Charter Schools,61Q000,Mallard Creek STEM Academy,0K-08,15.4,C,59.8,,,
Buncombe County Schools,110420,Valley Springs Middle,06-08,45.2,C,59.7,,,
Burke County Schools,120324,Glen Alpine Elementary,PK-05,68.7,C,59.7,,,
Cabarrus County Schools,130309,Beverly Hills Elementary,0K-05,31.2,C,59.7,,,
Currituck County Schools,270304,Central Elementary,PK-05,45.4,C,59.7,,,
McDowell County Schools,590330,McDowell High School,09-12,52.9,B,59.7,,,
Mitchell County Schools,610326,Harris Middle,06-08,59.6,C,59.7,,,
Pender County Schools,710318,Cape Fear Elementary,PK-05,80.9,C,59.7,,,
Stanly County Schools,840324,Millingport Elementary,PK-05,48.0,B,59.7,,,
Surry County Schools,860356,Westfield Elementary,PK-05,70.2,C,59.7,,,
Wayne County Public Schools,960454,Northwest Elementary,0K-05,51.2,C,59.7,,,
Wilson County Schools,980324,Elm City Middle,06-08,18.5,C,59.7,,,
Hickory City Schools,181312,Northview Middle,06-08,53.8,C,59.6,,,
Durham Public Schools,320340,Little River K-8 School,PK-08,39.8,C,59.6,,,
Lenoir County Public Schools,540304,Banks Elementary,PK-05,55.3,C,59.6,,,
Lenoir County Public Schools,540328,Pink Hill Elementary,PK-05,68.1,C,59.6,,,
Onslow County Schools,670351,Swansboro Middle,06-08,45.9,C,59.6,,,
Wayne County Public Schools,960370,Rosewood Elementary,PK-05,47.2,C,59.6,,,
Alamance-Burlington Schools,010396,Walter M Williams High,09-12,52.4,B,59.5,,,
Buncombe County Schools,110425,Enka Intermediate,05-06,59.9,C,59.5,,,
Buncombe County Schools,110450,Koontz Intermediate,05-06,50.1,C,59.5,,,
Asheville City Schools,111356,Asheville Middle,06-08,39.8,C,59.5,,,
Edenton-Chowan Schools,210306,D F Walker Elementary,03-05,66.6,C,59.5,,,
Davidson County Schools,290376,Tyro Middle,06-08,55.1,B,59.5,,,
Charlotte-Mecklenburg Schools,600480,North Mecklenburg High,09-12,51.3,B,59.5,,,
Orange County Schools,680304,A L Stanback Middle,06-08,52.3,C,59.5,,,
Charter Schools,44A000,Shining Rock Classical Academy CFA,0K-08,22.1,C,59.5,,,
Guilford County Schools,410361,Erwin Montessori,PK-05,78.5,C,59.4,,,
Lee County Schools,530320,Greenwood Elementary,0K-05,77.8,C,59.4,,,
Onslow County Schools,670342,Silverdale Elementary,0K-05,53.5,C,59.4,,,
Rutherford County Schools,810378,R-S Middle School,06-08,38.0,C,59.4,,,
Charter Schools,74C000,Winterville Charter Academy,0K-08,53.7,C,59.4,,,
Forsyth County Schools,340480,Paisley IB Magnet School,06-10,51.8,C,59.3,,,
Gaston County Schools,360488,Robinson Elementary,PK-05,49.2,C,59.3,,,
Roanoke Rapids City Schools,421328,Manning Elementary School,PK-05,62.8,C,59.3,,,
New Hanover County Schools,650346,Mary C Williams Elementary,0K-05,71.1,C,59.3,,,
Wake County Schools,920552,Sanderson High,09-12,30.7,B,59.3,,,
Watauga County Schools,950308,Bethel Elementary,PK-08,54.2,C,59.3,,,
Charter Schools,76A000,Uwharrie Charter Academy,0K-12,13.9,C,59.3,,,
Hickory City Schools,181326,W M Jenkins Elementary,0K-05,47.5,C,59.2,,,
Roanoke Rapids City Schools,421336,Roanoke Rapids Early College High,08-13,51.4,C,59.2,,,
Charlotte-Mecklenburg Schools,600422,Huntingtowne Farms Elementary,PK-05,39.2,C,59.2,,,
Randolph County Schools,760331,Level Cross Elementary,PK-05,57.3,C,59.2,,,
Caldwell County Schools,140316,Dudley Shoals Elementary,PK-05,61.9,C,59.1,,,
Guilford County Schools,410423,Jefferson Elementary,PK-05,48.1,C,59.1,,,
Guilford County Schools,410483,Middle College at NC A&T,09-12,54.9,C,59.1,,,
Lincoln County Schools,550372,West Lincoln Middle,06-08,54.5,C,59.1,,,
Moore County Schools,630332,North Moore High,09-12,56.7,B,59.1,,,
Vance County Schools,910376,L B Yancey Elementary,PK-05,73.1,C,59.1,,,
Yadkin County Schools,990322,Forbush High,08-12,44.5,B,59.1,,,
Buncombe County Schools,110332,Bell Elementary,0K-05,53.0,C,59.0,,,
Burke County Schools,120346,Jimmy C Draughn High School,09-12,42.0,B,59.0,,,
Catawba County Schools,180346,Maiden Middle School,07-08,44.4,C,59.0,,,
Craven County Schools,250324,Grover C Fields Middle,06-08,45.1,C,59.0,,,
Davie County Schools,300312,Davie County High,09-12,37.1,C,59.0,,,
Wake County Schools,920568,Swift Creek Elementary,0K-05,39.9,C,59.0,,,
Wilkes County Schools,970360,North Wilkesboro Elementary School,PK-05,59.8,C,59.0,,,
Guilford County Schools,410578,Triangle Lake Montessori Elem,PK-05,74.3,C,58.9,,,
Wake County Schools,920344,Brooks Elementary,PK-05,38.0,C,58.9,,,
Wilkes County Schools,970356,North Wilkes High School,09-12,46.6,B,58.9,,,
Charter Schools,61W000,East Voyager Academy of Charlotte,PK-04,17.5,C,58.9,,,
Guilford County Schools,410550,Southeast Guilford Middle,06-08,46.7,C,58.8,,,
Guilford County Schools,410565,Southwest Guilford Middle,06-08,46.7,C,58.8,,,
Martin County Schools,580324,Jamesville Elementary,PK-05,36.8,C,58.8,,,
New Hanover County Schools,650400,Winter Park Model Elementary,0K-05,68.6,C,58.8,,,
Onslow County Schools,670346,Summersill Elementary,PK-05,63.6,C,58.8,,,
Pitt County Schools,740308,Ayden Middle,06-08,56.5,C,58.8,,,
Brunswick County Schools,100334,South Brunswick High,09-12,51.6,B,58.7,,,
Gaston County Schools,360344,Carr Elementary,PK-05,47.8,C,58.7,,,
Harnett County Schools,430330,Coats-Erwin Middle,06-08,64.1,C,58.7,,,
Iredell-Statesville Schools,490364,Troutman Elementary,PK-05,42.1,C,58.7,,,
Charlotte-Mecklenburg Schools,600587,Windsor Park Elementary,PK-05,47.2,C,58.7,,,
New Hanover County Schools,650309,Castle Hayne Elementary,PK-05,62.2,C,58.7,,,
Rutherford County Schools,810336,Forest City-Dunbar Elementary School,PK-05,67.9,C,58.7,,,
Charter Schools,32A000,Maureen Joy Charter School,0K-08,>95,C,58.7,,,
Wake County Schools,920592,Wake Forest Middle School,06-08,39.7,C,58.6,,,
Charter Schools,45B000,FernLeaf Community Charter School,0K-05,13.7,C,58.6,,,
Buncombe County Schools,110408,Sand Hill-Venable Elem,0K-04,71.8,C,58.5,,,
Davie County Schools,300330,South Davie Middle,06-08,65.1,C,58.5,,,
Granville County Schools,390336,Joe Toler-Oak Hill Elementary,PK-05,65.9,C,58.5,,,
Guilford County Schools,410541,Shadybrook Elementary,PK-05,57.8,C,58.5,,,
Lee County Schools,530302,BT Bullock Elementary,0K-05,73.2,C,58.5,,,
Macon County Schools,560331,Mountain View Intermediate,05-06,62.0,C,58.5,,,
Charlotte-Mecklenburg Schools,600468,Governors Village STEM Academy (Lower),0K-04,41.7,C,58.5,,,
Richmond County Schools,770368,West Rockingham Elementary,PK-05,85.0,C,58.5,,,
Sampson County Schools,820376,Salemburg Elementary,PK-05,72.3,C,58.5,,,
Wake County Schools,920500,Millbrook High,09-12,30.6,B,58.5,,,
Dare County Schools,280312,Manteo Elementary School,PK-05,52.4,C,58.4,,,
Lincoln County Schools,550334,Lincolnton Middle,06-08,72.1,C,58.4,,,
Charlotte-Mecklenburg Schools,600436,Lake Wylie Elementary,PK-05,60.7,C,58.4,,,
Onslow County Schools,670318,Dixon Middle,05-08,40.6,C,58.4,,,
Wake County Schools,920342,Brier Creek Elementary,PK-05,32.3,C,58.4,,,
Cabarrus County Schools,130310,Central Cabarrus High,09-12,43.7,B,58.3,,,
Rutherford County Schools,810342,East Rutherford Middle School,06-08,47.1,C,58.3,,,
Charter Schools,69A000,Arapahoe Charter School,0K-12,60.4,C,58.3,,,
Davidson County Schools,290320,Denton Elementary,PK-05,56.3,C,58.2,,,
Gaston County Schools,360348,Catawba Heights Elementary,PK-05,55.0,C,58.2,,,
Jones County Schools,520324,Jones Middle,07-08,70.3,C,58.2,,,
Lincoln County Schools,550316,GE Massey Elementary,PK-05,73.2,C,58.2,,,
McDowell County Schools,590356,West McDowell Middle School,06-08,54.9,C,58.2,,,
Person County Schools,730360,Southern Middle,06-08,54.4,C,58.2,,,
Rutherford County Schools,810324,Chase High School,09-12,30.4,B,58.2,,,
Transylvania County Schools,880328,Rosman High,09-12,44.6,B,58.2,,,
Durham Public Schools,320319,Creekside Elementary,0K-05,43.4,C,58.1,,,
Johnston County Schools,510336,East Clayton Elementary,PK-05,26.1,C,58.1,,,
Montgomery County Schools,620318,Green Ridge Elementary,PK-05,84.5,C,58.1,,,
Randolph County Schools,760344,Randleman Elementary,0K-04,70.7,C,58.1,,,
Charter Schools,92P000,Southern Wake Academy,06-12,<5,C,58.1,,,
Camden County Schools,150304,Camden County High,09-12,20.9,B,58.0,,,
Columbus County Schools,240354,Hallsboro-Artesia Elementary,PK-05,79.8,C,58.0,,,
Cumberland County Schools,260357,Grays Creek High,09-12,45.0,C,58.0,,,
Guilford County Schools,410400,Guilford Elementary,PK-05,51.5,C,58.0,,,
Sampson County Schools,820385,Union Intermediate,04-05,80.4,C,58.0,,,
Wake County Schools,920533,Pleasant Grove Elementary,PK-05,40.4,C,58.0,,,
Cabarrus County Schools,130327,Northwest Cabarrus Middle,06-08,52.5,C,57.9,,,
Catawba County Schools,180312,Banoak Elementary,0K-06,59.7,C,57.9,,,
Columbus County Schools,240328,Cerro Gordo Elementary,PK-08,71.3,C,57.9,,,
New Hanover County Schools,650343,Holly Shelter Middle,06-08,65.4,C,57.9,,,
Wake County Schools,920399,Durant Road Middle,06-08,45.3,C,57.9,,,
Wilson County Schools,980396,Wells Elementary,0K-05,51.7,C,57.9,,,
Brunswick County Schools,100342,Virginia Williamson Elem,PK-05,75.5,C,57.8,,,
Buncombe County Schools,110338,Owen Middle,06-08,54.9,C,57.8,,,
Charlotte-Mecklenburg Schools,600445,Mallard Creek High,09-12,40.9,B,57.8,,,
Stokes County Schools,850336,Pine Hall Elementary,0K-05,55.6,C,57.8,,,
Charter Schools,13A000,Carolina International School,0K-12,14.9,C,57.8,,,
Caldwell County Schools,140348,Hibriten High,09-12,47.6,B,57.7,,,
Caldwell County Schools,140386,South Caldwell High,09-12,42.3,C,57.7,,,
Cumberland County Schools,260340,College Lakes Elementary,PK-05,67.9,C,57.7,,,
Madison County Schools,570319,Madison Middle School,06-08,53.6,C,57.7,,,
Vance County Schools,910304,Aycock Elementary,PK-05,58.4,C,57.7,,,
Wilkes County Schools,970388,West Wilkes High School,09-12,36.3,B,57.7,,,
Wilson County Schools,980348,Lee Woodard Elementary,0K-05,46.8,C,57.7,,,
Guilford County Schools,410454,Madison Elementary,0K-05,71.7,C,57.6,,,
Stokes County Schools,850320,Lawsonville Elementary,0K-05,48.9,C,57.6,,,
Brunswick County Schools,100326,North Brunswick High,09-12,62.9,B,57.5,,,
Cumberland County Schools,260383,Mac Williams Middle,06-08,57.3,C,57.5,,,
Cumberland County Schools,260459,William T Brown Elementary,PK-05,69.1,C,57.5,,,
Durham Public Schools,320308,Burton Elementary,PK-05,58.8,C,57.5,,,
McDowell County Schools,590332,Nebo Elementary School,PK-05,66.7,C,57.5,,,
Charlotte-Mecklenburg Schools,600475,Vaughan Academy of Technology,0K-05,58.7,C,57.5,,,
Perquimans County Schools,720312,Hertford Grammar,03-05,55.6,C,57.5,,,
Rowan-Salisbury Schools,800406,West Rowan Elementary,PK-05,55.4,C,57.5,,,
Transylvania County Schools,880318,Pisgah Forest Elementary,0K-05,53.3,C,57.5,,,
Wilson County Schools,980388,Stantonsburg Elementary,0K-05,45.5,C,57.5,,,
Whiteville City Schools,241308,Edgewood Elementary,03-05,84.6,C,57.4,,,
Cumberland County Schools,260362,Grays Creek Middle,06-08,50.7,C,57.4,,,
Johnston County Schools,510324,Clayton High,09-12,26.6,C,57.4,,,
Lee County Schools,530354,J R Ingram Jr Elementary,0K-05,69.7,C,57.4,,,
Stokes County Schools,850304,Chestnut Grove Middle,06-08,44.9,C,57.4,,,
Yadkin County Schools,990325,Starmount Middle,06-09,62.8,C,57.4,,,
Davie County Schools,300308,Cooleemee Elementary,PK-05,75.6,C,57.3,,,
Forsyth County Schools,340416,Kernersville Elementary,PK-05,51.3,C,57.3,,,
Gaston County Schools,360514,W C Friday Middle School,06-08,53.7,C,57.3,,,
