EOG_quintile,percent_EDS,parent_unemployed,county_poc,median_inc_county
3,63.3,7.9,37.6,51225
2,63.3,13.9,15.2,49070
2,63.3,4.9,52.7,64509
3,63.2,12,33.8,46411
4,63.2,18.7,61.2,38430
2,63.2,7.1,49,42807
4,63.2,7.3,31.8,60296
3,63.2,8.6,35.8,50480
4,63.2,10.7,27,52798
4,63.1,12.8,55.2,36042
4,63.1,10.5,56,46779
4,63.1,9.5,42.7,50112
4,63.1,4.9,52.7,64509
1,63,8.3,21.6,53419
3,63,7.3,31.8,60296
3,63,4.9,52.7,64509
2,63,9.7,8.7,51398
3,62.9,10.3,17,60163
3,62.9,9.2,35.7,57710
4,62.9,9.4,33.2,50149
3,62.9,9.9,20.3,48372
3,62.8,15.4,61.5,36760
3,62.8,10.5,56,46779
3,62.8,15.2,26.7,41869
3,62.8,9.9,20.3,48372
4,62.8,3.6,27.4,80428
3,62.8,13.9,15.2,49070
3,62.7,13.9,15.2,49070
3,62.7,6,23.3,60044
4,62.6,9.9,20.3,48372
3,62.6,8,49.3,52166
4,62.5,6,23.3,60044
3,62.4,4,18.6,51491
4,62.4,10.1,27.4,46864
2,62.4,3.6,27.4,80428
2,62.4,5.6,15.9,54012
3,62.3,11,46,41572
3,62.3,8.6,35.8,50480
3,62.2,8.3,21.6,53419
2,62.2,6,23.3,60044
2,62.2,7.6,11.9,43328
2,62.2,9.7,8.7,51398
3,62.1,8.6,32.3,50531
4,62,5.8,44.9,43303
1,62,19.3,74.2,35407
3,62,10.5,56,46779
3,62,8,49.3,52166
2,62,9.9,20.3,48372
3,62,11.1,10.4,46426
2,61.9,8.3,21.6,53419
3,61.9,10.3,17,60163
2,61.9,7.1,49,42807
3,61.9,7.6,11.9,43328
2,61.9,7.6,11.9,43328
2,61.8,7.1,49,42807
3,61.8,4,18.6,51491
3,61.8,7.6,11.9,43328
3,61.8,6.7,15.3,53960
3,61.7,8.6,56.6,59329
4,61.7,4.9,52.7,64509
2,61.6,9.9,20.3,48372
4,61.6,10.1,27.4,46864
4,61.5,15.4,61.5,36760
3,61.5,3.3,29.4,71920
3,61.5,7.7,7.3,44756
3,61.4,8.6,32.3,50531
3,61.4,4,39.1,80169
1,61.4,10.5,56,46779
2,61.4,6.1,8,50826
2,61.3,13.4,35.4,51746
3,61.3,5.8,44.9,43303
3,61.3,11.3,50.3,40433
2,61.3,19.3,74.2,35407
3,61.3,8.7,19.3,47758
2,61.3,6.1,8,50826
3,61.2,11.3,50.3,40433
3,61.2,14.5,63.4,38818
4,61.2,14.5,63.4,38818
3,61.2,15.4,61.5,36760
1,61.2,7.1,49,42807
3,61.2,6.4,21.8,59471
2,61.1,12.7,52.5,44015
4,61.1,7.3,31.8,60296
2,61,6.1,8,50826
4,61,9.5,42.7,50112
3,61,5.3,12.5,49138
3,60.9,4,39.1,80169
4,60.9,8.6,35.8,50480
4,60.9,8,49.3,52166
3,60.9,8.7,19.3,47758
4,60.9,4.9,52.7,64509
3,60.9,10.7,27,52798
3,60.8,12,33.8,46411
3,60.8,4,39.1,80169
3,60.8,4.9,15,60801
2,60.8,13.5,15.8,46342
2,60.8,8.8,7.6,41262
4,60.7,11.3,50.3,40433
2,60.7,6.1,8,50826
1,60.7,13.5,15.8,46342
3,60.7,4.9,52.7,64509
3,60.7,10.7,27,52798
2,60.6,7.4,12.3,55052
3,60.6,9.5,42.7,50112
3,60.6,10.1,27.4,46864
3,60.6,6,23.3,60044
2,60.5,14.3,48.2,42725
4,60.5,8.6,35.8,50480
3,60.5,8,49.3,52166
3,60.5,7.4,14.1,62963
2,60.5,5.5,7.1,41864
3,60.4,11.6,25,46447
3,60.4,7.3,31.8,60296
3,60.4,4,39.1,80169
3,60.4,12.5,17.6,44946
3,60.3,14.5,63.4,38818
3,60.3,4,39.1,80169
3,60.3,4,39.1,80169
3,60.3,10.5,56,46779
4,60.3,8,49.3,52166
